Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
pub-0ed5a1f263894eab8341e034994e9627.r2.dev,0,0,1,1,0,0,0,1,4.717215193575247,4.190929511009918,1,24,0,0.0,-1,1,0,1,0,1
bafybeia4wnvo3f7q7ompkrufwctsad377rmqqre5nikeig54m6gvdk2aom.ipfs.fleek.cool,0,0,1,0,0,0,0,0,4.843351542559061,4.69423757143187,2,12,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,4,0,0,0,0,5.215009649093271,2.9735572622751856,1,7,0,0.17857142857142858,-1,1,0,1,0,1
support-docs-trzrhardware-helps.webflow.io,0,0,0,0,0,0,0,1,4.194306165790042,4.073648899320328,1,0,0,0.0,-1,1,1,1,1,1
paytollqxza.vip,0,0,0,0,0,0,0,0,3.8239348962840563,3.506890595608519,0,0,0,0.0,-1,1,1,1,1,1
fibanc-bg.firebaseapp.com,0,0,1,1,0,0,0,1,4.80038636880358,3.7834651896016473,1,11,1,0.02531645569620253,-1,1,0,1,0,1
choix-selection.eu,0,0,0,1,0,0,0,1,3.953968403919608,3.57243125132212,0,0,0,0.0,-1,1,1,1,1,1
flowto.it,0,0,0,1,0,0,0,0,4.280394654123194,2.725480556997868,0,1,0,0.17857142857142858,-1,1,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,4.0559581516151235,2.5,1,0,0,0.08695652173913043,-1,1,1,1,1,1
phantom-wallet-extension-for-chromes.webflow.io,0,0,1,0,0,0,0,1,4.213455261947223,4.062270437051731,1,0,0,0.0,-1,1,1,1,1,1
bedecked-garrulous-quality.glitch.me,0,0,0,0,0,0,0,1,4.362507470762515,4.183542362433231,1,0,0,0.0,-1,1,1,1,1,1
maradomessiano.web.app,0,0,0,0,0,0,0,0,3.913400745661378,3.5503407095463886,1,0,0,0.0,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.9394709940012875,2.584962500721156,0,1,0,0.09523809523809523,-1,1,0,1,0,1
pub-02b43672e5014e80bc35e10581ab84a2.r2.dev,0,1,1,1,0,0,0,1,5.081483291863997,4.100228707989217,1,25,6,0.0,-1,1,0,1,0,1
pub-8bb2af2b13cd4e2d90a81254aea0d169.r2.dev,0,0,1,1,0,0,0,1,4.692279682039658,4.144417883102941,1,19,0,0.0,-1,1,1,1,1,1
t.co,0,0,0,1,0,0,1,0,4.110093477608016,2.0,0,3,0,0.2608695652173913,-1,1,0,1,0,1
elamsnwjedffd.weebly.com,0,0,0,0,0,0,0,0,4.173033892020166,3.751629167387823,1,0,0,0.0,-1,1,1,1,1,1
