Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
obrienstainedglass.com,0,0,0,0,0,0,0,0,4.150292659616669,3.7887549139935035,0,0,0,0.0,-1,0,0,1,0,0
heavy-metal-rock-fan.blogspot.com,0,0,0,0,0,0,1,1,4.354552444952288,4.150158513166728,1,0,0,0.0,-1,1,1,1,1,0
neilbrown.newcastlefans.com,0,0,0,0,0,0,0,0,4.037326145256008,3.7639657428240807,1,0,0,0.0,-1,1,1,1,1,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.158977174901209,3.452819531114783,1,0,0,0.043478260869565216,-1,1,1,1,1,0
daydreamerdecals.com,0,0,0,1,0,0,0,0,4.1581409171909165,3.308694969562842,0,0,0,0.0,-1,1,0,1,0,0
streema.com,0,0,0,2,0,0,0,0,4.150292659616669,3.095795255000934,0,0,0,0.11428571428571428,-1,0,0,1,0,0
whosdatedwho.com,0,0,1,2,0,0,0,0,4.3253791799429,3.327819531114783,0,5,0,0.0,-1,1,0,1,0,0
bluefly.com,0,0,1,4,0,0,0,0,4.716294333366021,3.277613436819116,0,14,0,0.025210084033613446,-1,1,0,1,0,0
myspace.com,0,0,0,1,0,0,0,0,4.128724445269142,3.095795255000934,0,0,0,0.0,-1,1,0,1,0,0
obits.dignitymemorial.com,0,0,1,2,0,0,0,0,5.034599956821131,3.7834651896016473,1,20,9,0.03076923076923077,-1,1,1,1,1,0
docstoc.com,0,0,1,3,0,0,0,0,4.737853153855571,2.5949066182439395,0,7,0,0.07142857142857142,-1,1,0,1,0,0
montrealgazette.com,0,0,1,4,0,0,0,0,4.38768603842456,3.4316235658474312,0,7,3,0.010869565217391304,-1,1,1,1,1,0
korrectnation.com,0,0,0,0,0,0,0,0,4.398857447483312,3.337175341123077,0,5,1,0.0,-1,1,0,1,0,0
frontiernet.net,0,0,1,3,0,0,0,0,4.330476654264132,2.8225797618424915,0,5,1,0.0,-1,1,0,1,0,0
baseballjump.com,0,0,1,2,0,0,0,0,4.183051725274346,3.5,0,0,0,0.0,-1,1,1,1,1,0
suite101.com,0,0,1,2,0,0,0,0,4.511833577786331,3.4182958340544896,0,13,0,0.0,-1,1,0,1,0,0
facebook.com,0,0,1,3,0,0,0,0,4.659981970035089,3.0220552088742005,0,15,0,0.034482758620689655,-1,1,0,1,0,0
unitychristianchurch.net,0,0,0,0,0,0,0,0,3.820694501162621,3.427694271103767,0,0,0,0.0,-1,0,0,1,0,0
poptower.com,0,0,1,1,0,0,0,0,4.236341125329102,3.0220552088742005,0,5,0,0.0,-1,1,0,1,0,0
facebook.com,0,0,1,3,0,0,0,0,4.8422349479168565,3.0220552088742005,0,15,0,0.03389830508474576,-1,1,0,1,0,0
123people.ca,0,0,0,2,0,0,0,0,4.161953223919209,3.2516291673878226,0,3,1,0.0,-1,1,0,1,0,0
irelandhotels.com,0,0,0,0,0,0,0,0,4.031401845392172,3.7345216647797517,0,0,0,0.0,-1,0,0,1,0,0
filmbug.com,0,0,0,2,0,0,0,0,4.284683810317086,3.277613436819116,0,4,0,0.0,-1,1,0,1,0,0
avvo.com,0,0,1,2,0,0,0,0,4.623862466829554,2.5,0,12,0,0.0,-1,1,0,1,0,0
ma.allpages.com,0,0,1,3,0,0,0,0,4.241193839359621,3.1898980954642875,1,0,0,0.0,-1,1,1,1,1,0
justsomelyrics.com,0,0,1,2,0,0,0,0,4.8528380766796815,3.57243125132212,0,11,2,0.10869565217391304,-1,1,1,1,1,0
worthpoint.com,0,0,1,2,0,0,1,0,4.391181100620632,3.3248629576173565,0,4,0,0.0,-1,1,0,1,0,0
youtube.com,0,0,0,1,0,0,0,0,4.479077406953247,3.095795255000934,0,0,1,0.13953488372093023,-1,0,0,1,0,0
50thsvhsclass61.com,0,0,0,0,0,0,0,0,3.917837797403416,3.616348566075165,0,4,0,0.0,-1,1,1,1,1,0
sexandfetishforum.com,0,0,1,1,0,0,0,0,4.4988707156154835,3.916126946588284,0,6,1,0.0,-1,1,0,1,0,0
jamaicatravelandculture.com,0,0,0,1,0,0,0,0,4.181264314369749,3.704349428956051,0,0,0,0.0,-1,1,1,1,1,0
sonyclassics.com,0,0,0,1,0,0,0,0,3.996439344671016,3.077819531114783,0,0,0,0.0,-1,0,0,1,0,0
santacruzbuilt.com,0,0,1,3,0,0,1,0,4.415317574390265,3.725480556997868,0,0,0,0.0,-1,1,1,1,1,0
